"Category","Rating","Rating.Count","Size","DaysLastUpdate","ReleasedDays","AppNameLen","Installs"
"Lifestyle",4.3,2.484906649788,2.484906649788,293,2262,16,6.9037472575846
"Game",4.9,2.07944154167984,3.13549421592915,362,371,11,3.2188758248682
"Game",3.4,7.16317239084664,3.61091791264422,1814,1816,29,12.5056067048871
"Educational",4.3,1.94591014905531,2.56494935746154,488,1028,4,6.82654522355659
"Lifestyle",4.2,2.70805020110221,1.22377543162212,536,544,6,9.47477940569756
"Educational",4.7,2.70805020110221,1.30833281965018,820,971,15,5.63121178182137
"Productivity",3.9,2.07944154167984,2.02814824729229,395,420,32,7.00306545878646
"Lifestyle",4.6,3.3322045101752,4.06044301054642,107,799,20,9.8081873726818
"Educational",4.8,2.30258509299405,2.63905732961526,297,379,12,6.02102334934953
"Lifestyle",3.1,6.46458830368996,4.46590811865458,1035,1100,27,11.2571812396099
"Lifestyle",3.9,3.40119738166216,2.32238772029023,52,681,17,9.45203086057697
"Entertainment",2.6,5.96357934361845,2.18605127673809,930,2426,10,10.3532565862008
"SocialMedia",2.9,2.77258872223978,1.3609765531356,1518,1518,27,6.44888939414686
"Educational",4.9,3.04452243772342,1.56861591791385,532,1563,13,6.59167373200866
"Lifestyle",2.2,4.21950770517611,3.09104245335832,370,881,8,8.64822145382264
"Educational",2,4.11087386417331,1.25276296849537,190,1315,16,8.54071438645758
"Productivity",4.5,9.74864496673046,2.83321334405622,21,361,46,13.6178897623811
"Game",4.1,5.4971682252932,2.2082744135228,2379,2383,29,9.6782793713397
"Lifestyle",3.9,4.18965474202643,2.56494935746154,14,854,28,10.1577420988754
"Lifestyle",4.5,3.04452243772342,1.54756250871601,1105,2423,27,7.21670948670946
"Productivity",4,7.8659554139335,2.00148000021012,40,1704,22,14.204388862468
"Educational",3.8,4.23410650459726,2.05412373369555,601,1985,24,9.14355933828583
"Lifestyle",3.2,8.65886634973238,2.56494935746154,50,1357,24,14.7936742615536
"Game",5,2.19722457733622,2.70805020110221,160,160,19,3.2188758248682
"Productivity",4.4,2.07944154167984,2.31253542384721,369,1063,13,7.00397413672268
"Educational",4.8,3.09104245335832,3.8286413964891,338,345,22,8.77770959579525
"Educational",4.6,5.18738580584075,2.484906649788,19,291,48,8.94298366598565
"Educational",4.3,2.99573227355399,3.09104245335832,85,1831,15,7.94555542825349
"Entertainment",4.2,3.87120101090789,2.02814824729229,967,1008,21,9.71250862865099
"Game",4,6.59578051396131,3.40119738166216,1541,1544,14,11.1798972907516
"Game",4.9,2.83321334405622,1.66770682055808,261,344,26,3.8286413964891
"Lifestyle",4.3,4.21950770517611,2.94443897916644,3,1456,28,11.2380938044973
"Lifestyle",4.5,3.98898404656427,3.09104245335832,238,1006,17,8.61558951327243
"Lifestyle",4.7,2.39789527279837,1.62924053973028,824,825,24,6.90475076996184
"Educational",5,1.79175946922805,1.09861228866811,554,554,12,4.07753744390572
"Game",4.1,2.77258872223978,1.88706964903238,2155,2173,14,6.51323011091231
"Educational",4,3.55534806148941,2.70805020110221,2323,2381,29,9.43819281901813
"Game",4.4,6.4723462945009,3.98898404656427,654,1886,12,10.9025188879493
"Lifestyle",3.5,3.2188758248682,3.2188758248682,581,581,14,7.30921236569276
"Entertainment",5,2.39789527279837,1.1314021114911,393,393,20,7.15226885603254
"Game",3.3,4.00733318523247,3.04452243772342,475,1720,7,10.2386374867293
"Game",4.8,3.25809653802148,2.70805020110221,1765,1823,16,6.46146817635372
"Lifestyle",4.4,7.11720550316434,4.52178857704904,214,599,48,13.3591068294064
"Game",4.8,4.00733318523247,4.43081679884331,469,471,9,7.64683139143048
"Lifestyle",4,3.66356164612965,2.39789527279837,621,2206,8,8.52018870039604
"Lifestyle",4.7,2.77258872223978,2.56494935746154,1060,1462,19,8.26100978602383
"Lifestyle",4.3,4.17438726989564,1.33500106673234,1184,1314,26,10.6057431254601
"Educational",4,2.07944154167984,2.02814824729229,680,680,25,5.52545293913178
"Educational",2.8,1.94591014905531,1.6094379124341,1833,1847,10,6.28226674689601
"Entertainment",4.1,6.9555926083963,4.14313472639153,773,1662,21,12.5390136547001
"Educational",4.5,3.29583686600433,3.55534806148941,161,380,7,6.6631326959908
"Entertainment",4.4,3.73766961828337,1.94591014905531,270,446,37,8.58951385299586
"Game",4.5,2.63905732961526,3.43398720448515,1651,1651,8,4.99721227376411
"Lifestyle",5,3.09104245335832,3.13549421592915,1059,1059,18,5.99396142730657
"Educational",4.3,2.30258509299405,1.52605630349505,752,752,41,8.06777619577889
"Lifestyle",5,2.30258509299405,3.25809653802148,331,331,15,5.13579843705026
"Productivity",2.6,3.66356164612965,3.49650756146648,75,121,29,9.66592808948756
"Lifestyle",4.8,3.09104245335832,2.24070968927596,406,862,33,7.29709100516042
"Game",4.4,4.77912349311153,3.61091791264422,207,207,47,9.86339445896968
"Entertainment",4.6,2.89037175789616,4.12713438504509,118,119,28,6.98378996525813
"Lifestyle",4.3,2.30258509299405,1.85629799036563,189,308,5,7.09090982207998
"Educational",4.4,6.07534603108868,2.83321334405622,154,686,50,10.9633763377551
"Entertainment",4.2,1.79175946922805,2.10413415427021,82,2041,15,6.22257626807137
"Lifestyle",4.2,2.83321334405622,1.41098697371026,862,862,44,9.60021795674263
"Educational",5,2.07944154167984,1.52605630349505,1524,1524,20,8.28526113406895
"Game",3.6,4.47733681447821,3.61091791264422,729,1082,32,11.3181871381612
"Educational",4.6,4.86753445045558,3.40119738166216,250,2183,26,10.8597679326264
"Entertainment",4.9,4.29045944114839,3.2188758248682,89,1793,21,6.67708346124714
"Entertainment",3.7,1.94591014905531,2.94443897916644,6,2079,15,7.05358572719368
"Entertainment",3.7,10.0346912381515,3.04452243772342,11,1740,27,15.4790714374832
"Educational",4.2,4.35670882668959,1.54756250871601,517,846,9,7.78280726283969
"Lifestyle",4.1,4.00733318523247,3.2188758248682,635,692,19,9.49408972140025
"Game",3.9,4.62497281328427,1.33500106673234,3456,3483,11,10.0714566031057
"Productivity",3.6,2.77258872223978,0.172271220940453,1819,1849,15,7.38212436573751
"Lifestyle",4.9,4.02535169073515,2.34180580614733,149,150,17,6.15909538849193
"Lifestyle",4.2,4.46590811865458,2.39789527279837,72,544,22,9.2869309741379
"Entertainment",3.2,5.18178355029209,3.85014760171006,1554,1554,21,9.74648280372596
"SocialMedia",4.2,5.08759633523238,3.09104245335832,999,1000,13,9.44683440765853
"Lifestyle",3.9,3.85014760171006,3.2188758248682,1224,2579,13,8.73568594451502
"Productivity",3.8,2.70805020110221,3.63758615972639,117,470,8,7.9002660367677
"Game",3.8,5.23644196282995,3.04452243772342,1080,1223,34,9.90283734119454
"Entertainment",4.2,2.19722457733622,1.97408102602201,732,737,22,6.67076632084587
"Entertainment",5,2.30258509299405,1.84054963339749,405,405,19,5.25227342804663
"Lifestyle",3.6,5.64897423816121,1.7404661748405,551,799,16,10.2604974403749
"Entertainment",4.8,2.99573227355399,1.30833281965018,396,403,30,4.12713438504509
"Lifestyle",4.1,3.17805383034795,2.63905732961526,643,1126,21,8.70018119275335
"SocialMedia",4.7,2.07944154167984,2.39789527279837,999,1177,9,4.53259949315326
"Game",5,1.94591014905531,3.78418963391826,102,102,11,3.66356164612965
"Lifestyle",5,3.80666248977032,1.96009478404727,734,804,25,6.89365635460264
"Game",4.8,2.99573227355399,2.31253542384721,76,900,14,5.03695260241363
"Educational",2.8,7.58324752430336,2.77258872223978,250,1933,12,11.5602764988502
"Lifestyle",4,8.29254851397576,3.29583686600433,48,300,48,13.5994295083693
"Entertainment",4.8,4.44265125649032,3.25809653802148,284,1284,48,9.72495879398087
"Lifestyle",4.8,3.52636052461616,2.70805020110221,1049,1307,22,9.68756784631124
"Educational",4.4,4.65396035015752,2.89037175789616,822,1170,21,9.80537845942581
"Lifestyle",3.5,3.25809653802148,2.30258509299405,1853,3199,10,8.54714026778419
"Educational",4,3.55534806148941,2.63905732961526,447,678,26,8.75652500292697
"Entertainment",4,5.8636311755981,3.49650756146648,264,264,45,9.46467246474641
"Educational",3.6,2.39789527279837,1.50407739677627,207,208,48,6.61472560020376
"Educational",3.5,4.68213122712422,2.70805020110221,726,1332,47,11.1727845068125
"Lifestyle",4.2,3.09104245335832,2.83321334405622,51,52,46,7.14755927118945
"Lifestyle",3.5,6.43133108193348,2.01490302054226,382,1387,22,11.1184448062956
"Productivity",4.5,2.484906649788,2.83321334405622,280,1398,18,7.43425738213314
"Lifestyle",4.1,2.07944154167984,2.18605127673809,31,104,17,7.44716835960004
"Lifestyle",4.4,9.26388113890421,2.94443897916644,26,1265,50,13.1803473392746
"Educational",3.2,3.04452243772342,3.68887945411394,4,422,8,5.26269018890489
"Game",4,4.12713438504509,3.97029191355212,831,1496,15,10.3649548507596
"Game",3.9,9.1531348982054,4.57471097850338,42,375,46,14.9275072084395
"Productivity",3.6,2.70805020110221,2.18605127673809,41,1497,11,7.63385355968177
"Lifestyle",3.8,4.49980967033027,1.82454929205105,123,853,14,8.83127373772255
"Game",3.3,4.29045944114839,3.87120101090789,203,288,30,10.0285771633749
"SocialMedia",4.4,11.5516268125073,2.05412373369555,67,1853,27,16.4277474126951
"Lifestyle",5,1.94591014905531,3.04452243772342,508,587,12,6.84161547647759
"Game",4.5,7.8336002236611,3.36729582998647,120,1368,37,13.4887147533032
